date,hour,Average Wait Time,Max WaitTime
10/13/2019,1300 - 1400,17,41
10/13/2019,1400 - 1500,7,18
10/13/2019,1500 - 1600,24,74
10/13/2019,1600 - 1700,35,95
10/13/2019,1700 - 1800,18,44
10/13/2019,1900 - 2000,10,26
10/13/2019,2000 - 2100,13,33
10/14/2019,0000 - 0100,9,21
10/14/2019,0100 - 0200,6,15
10/14/2019,0900 - 1000,7,27
10/14/2019,1000 - 1100,11,26
10/14/2019,1100 - 1200,11,42
10/14/2019,1200 - 1300,9,30
10/14/2019,1300 - 1400,9,20
10/14/2019,1400 - 1500,19,76
10/14/2019,1500 - 1600,11,37
10/14/2019,1600 - 1700,14,33
10/14/2019,1700 - 1800,21,61
10/14/2019,1800 - 1900,15,57
10/14/2019,1900 - 2000,14,49
10/14/2019,2100 - 2200,8,32
10/14/2019,0500 - 0600,25,71
10/14/2019,0600 - 0700,32,70
10/14/2019,0700 - 0800,6,18
10/14/2019,0800 - 0900,9,31
10/14/2019,0900 - 1000,11,36
10/14/2019,1000 - 1100,8,21
10/14/2019,1100 - 1200,8,20
10/14/2019,1200 - 1300,15,59
10/14/2019,1300 - 1400,13,37
10/14/2019,1400 - 1500,13,43
10/14/2019,1500 - 1600,21,40
10/14/2019,1600 - 1700,12,51
10/14/2019,1700 - 1800,13,18
10/14/2019,1800 - 1900,9,16
10/14/2019,1900 - 2000,14,38
10/14/2019,2000 - 2100,16,63
10/14/2019,2100 - 2200,9,17
10/15/2019,0000 - 0100,20,42
10/15/2019,0800 - 0900,39,60
10/15/2019,0900 - 1000,17,45
10/15/2019,1000 - 1100,15,38
10/15/2019,1100 - 1200,11,42
10/15/2019,1200 - 1300,13,25
10/15/2019,1300 - 1400,19,36
10/15/2019,1400 - 1500,18,61
10/15/2019,1500 - 1600,10,27
10/15/2019,1600 - 1700,13,38
10/15/2019,1700 - 1800,7,26
10/15/2019,1800 - 1900,13,49
10/15/2019,1900 - 2000,12,36
10/15/2019,2000 - 2100,7,15
10/15/2019,2100 - 2200,7,41
10/15/2019,0500 - 0600,35,86
10/15/2019,0600 - 0700,29,62
10/15/2019,0700 - 0800,13,42
10/15/2019,0800 - 0900,16,35
10/15/2019,0900 - 1000,23,66
10/15/2019,1100 - 1200,11,29
10/15/2019,1200 - 1300,29,81
10/15/2019,1300 - 1400,31,72
10/15/2019,1400 - 1500,24,61
10/15/2019,1500 - 1600,19,68
10/15/2019,1600 - 1700,21,57
10/15/2019,1900 - 2000,31,106
10/15/2019,2000 - 2100,40,82
10/16/2019,0000 - 0100,5,13
10/16/2019,0100 - 0200,6,20
10/16/2019,0900 - 1000,14,36
10/16/2019,1000 - 1100,12,31
10/16/2019,1100 - 1200,11,38
10/16/2019,1200 - 1300,11,74
10/16/2019,1300 - 1400,9,30
10/16/2019,1400 - 1500,12,65
10/16/2019,1500 - 1600,17,68
10/16/2019,1600 - 1700,9,31
10/16/2019,1700 - 1800,19,37
10/16/2019,1800 - 1900,23,44
10/16/2019,1900 - 2000,12,49
10/16/2019,2000 - 2100,12,40
10/16/2019,2100 - 2200,17,65
10/16/2019,0500 - 0600,35,105
10/16/2019,0600 - 0700,36,85
10/16/2019,0700 - 0800,32,68
10/16/2019,0800 - 0900,28,77
10/16/2019,0900 - 1000,23,52
10/16/2019,1000 - 1100,27,44
