date,hour,Average Wait Time,Max WaitTime,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
10/7/2019,0100 - 0200,7,18,88,7,0,0,0,0,0,3,98,1,6
10/7/2019,0400 - 0500,4,9,168,0,0,0,0,0,0,9,177,1,4
10/7/2019,0800 - 0900,27,47,56,107,108,9,0,0,0,10,290,2,13
10/7/2019,1000 - 1100,16,40,229,113,57,0,0,0,0,9,408,2,17
10/7/2019,1100 - 1200,22,57,250,160,95,71,0,0,0,16,592,2,20
10/7/2019,1200 - 1300,17,48,231,116,50,11,0,0,0,8,416,2,19
10/7/2019,1300 - 1400,12,23,151,63,0,0,0,0,0,5,219,1,19
10/7/2019,1400 - 1500,23,71,569,306,145,181,29,0,0,34,1264,5,22
10/7/2019,1500 - 1600,26,47,74,55,78,19,0,0,0,4,230,1,23
10/7/2019,1600 - 1700,14,52,631,283,44,14,0,0,0,27,999,5,23
10/7/2019,1700 - 1800,16,37,221,178,37,0,0,0,0,13,449,1,14
10/7/2019,1900 - 2000,11,29,412,147,0,0,0,0,0,12,571,3,16
10/7/2019,2000 - 2100,15,33,282,231,13,0,0,0,0,14,540,2,16
10/7/2019,2100 - 2200,9,22,106,18,0,0,0,0,0,4,128,1,8
10/7/2019,2200 - 2300,4,13,70,0,0,0,0,0,0,5,75,1,7
10/7/2019,2300 - 0000,7,29,170,24,0,0,0,0,0,10,204,1,6
10/7/2019,0500 - 0600,43,133,100,151,172,155,120,21,12,22,753,3,12
10/7/2019,0600 - 0700,37,134,361,94,102,190,26,95,18,32,918,4,15
10/7/2019,0700 - 0800,26,103,217,111,20,14,58,19,0,13,452,3,18
10/7/2019,0800 - 0900,18,50,274,220,83,22,0,0,0,21,620,4,19
10/7/2019,0900 - 1000,18,53,273,119,100,32,0,0,0,15,539,2,23
10/7/2019,1000 - 1100,19,47,201,113,92,15,0,0,0,12,433,2,17
10/7/2019,1100 - 1200,14,46,448,211,65,2,0,0,0,24,750,4,16
10/7/2019,1200 - 1300,17,40,246,140,67,0,0,0,0,6,459,1,15
10/7/2019,1300 - 1400,9,23,275,51,0,0,0,0,0,10,336,1,20
10/7/2019,1400 - 1500,16,41,326,195,64,0,0,0,0,16,601,3,21
10/7/2019,1500 - 1600,9,26,582,66,0,0,0,0,0,17,665,3,22
10/7/2019,1600 - 1700,15,51,451,181,77,15,0,0,0,22,746,3,17
10/7/2019,1700 - 1800,13,28,191,120,0,0,0,0,0,8,319,1,16
10/7/2019,1800 - 1900,16,30,103,109,0,0,0,0,0,7,219,1,10
10/7/2019,1900 - 2000,15,43,327,160,62,0,0,0,0,14,563,2,11
10/7/2019,2000 - 2100,23,61,156,101,97,31,2,0,0,12,399,3,10
10/7/2019,2100 - 2200,17,37,128,143,12,0,0,0,0,10,293,2,9
10/8/2019,0000 - 0100,7,22,81,11,0,0,0,0,0,5,97,1,6
10/8/2019,0100 - 0200,7,21,96,13,0,0,0,0,0,7,116,1,6
10/8/2019,0800 - 0900,13,27,113,63,0,0,0,0,0,5,181,1,14
10/8/2019,0900 - 1000,4,15,105,0,0,0,0,0,0,4,109,1,15
