date,hour,Average Wait Time,Max WaitTime
10/11/2019,0100 - 0200,12,25
10/11/2019,0900 - 1000,20,36
10/11/2019,1000 - 1100,29,60
10/11/2019,1100 - 1200,52,101
10/11/2019,1200 - 1300,57,105
10/11/2019,1300 - 1400,41,70
10/11/2019,1400 - 1500,41,78
10/11/2019,1600 - 1700,19,47
10/11/2019,1700 - 1800,29,62
10/11/2019,1900 - 2000,22,61
10/11/2019,2000 - 2100,36,80
10/11/2019,2200 - 2300,14,42
10/11/2019,2300 - 0000,10,25
10/11/2019,0500 - 0600,15,42
10/11/2019,0600 - 0700,24,75
10/11/2019,0700 - 0800,27,96
10/11/2019,0800 - 0900,29,84
10/11/2019,0900 - 1000,17,53
10/11/2019,1000 - 1100,21,47
10/11/2019,1100 - 1200,10,24
10/11/2019,1200 - 1300,27,73
10/11/2019,1300 - 1400,23,43
10/11/2019,1400 - 1500,17,41
10/11/2019,1500 - 1600,21,69
10/11/2019,1600 - 1700,39,91
10/11/2019,1700 - 1800,31,62
10/11/2019,1800 - 1900,19,36
10/11/2019,1900 - 2000,10,25
10/11/2019,2000 - 2100,29,82
10/11/2019,2100 - 2200,35,73
10/12/2019,0100 - 0200,9,23
10/12/2019,0900 - 1000,21,42
10/12/2019,1000 - 1100,15,32
10/12/2019,1100 - 1200,23,42
10/12/2019,1200 - 1300,39,73
10/12/2019,1400 - 1500,41,98
10/12/2019,1500 - 1600,32,70
10/12/2019,1600 - 1700,9,13
10/12/2019,1700 - 1800,21,46
10/12/2019,1800 - 1900,24,44
10/12/2019,1900 - 2000,11,25
10/12/2019,2000 - 2100,28,61
10/12/2019,2100 - 2200,13,29
10/12/2019,2200 - 2300,12,35
10/12/2019,0500 - 0600,16,70
10/12/2019,0600 - 0700,20,68
10/12/2019,0700 - 0800,35,101
10/12/2019,0800 - 0900,46,106
10/12/2019,0900 - 1000,22,63
10/12/2019,1000 - 1100,20,50
10/12/2019,1100 - 1200,27,91
10/12/2019,1200 - 1300,34,87
10/12/2019,1300 - 1400,28,64
10/12/2019,1400 - 1500,28,73
10/12/2019,1500 - 1600,23,74
10/12/2019,1600 - 1700,40,103
10/12/2019,1700 - 1800,20,41
10/12/2019,1900 - 2000,15,36
10/12/2019,2000 - 2100,11,25
10/12/2019,2100 - 2200,10,22
10/13/2019,0000 - 0100,20,42
10/13/2019,0900 - 1000,23,52
10/13/2019,1000 - 1100,22,46
10/13/2019,1100 - 1200,45,96
10/13/2019,1200 - 1300,59,100
10/13/2019,1300 - 1400,20,43
10/13/2019,1400 - 1500,47,94
10/13/2019,1500 - 1600,19,31
10/13/2019,1600 - 1700,13,26
10/13/2019,1700 - 1800,12,32
10/13/2019,1800 - 1900,18,48
10/13/2019,1900 - 2000,24,47
10/13/2019,2000 - 2100,24,48
10/13/2019,2100 - 2200,14,48
10/13/2019,0500 - 0600,34,77
10/13/2019,0600 - 0700,29,80
10/13/2019,0700 - 0800,19,47
10/13/2019,0800 - 0900,13,28
10/13/2019,0900 - 1000,17,42
10/13/2019,1100 - 1200,12,33
10/13/2019,1200 - 1300,22,59
10/13/2019,1300 - 1400,20,41
10/13/2019,1400 - 1500,10,22
10/13/2019,1500 - 1600,37,107
10/13/2019,1600 - 1700,46,97
10/13/2019,1700 - 1800,26,56
10/13/2019,1900 - 2000,14,40
10/13/2019,2000 - 2100,16,43
10/14/2019,0000 - 0100,12,25
10/14/2019,0100 - 0200,9,18
10/14/2019,0900 - 1000,19,46
10/14/2019,1000 - 1100,17,35
10/14/2019,1100 - 1200,27,56
10/14/2019,1200 - 1300,21,52
10/14/2019,1300 - 1400,12,24
10/14/2019,1400 - 1500,53,106
10/14/2019,1500 - 1600,33,85
10/14/2019,1600 - 1700,21,53
10/14/2019,1700 - 1800,33,76
10/14/2019,1800 - 1900,26,57
10/14/2019,1900 - 2000,21,49
10/14/2019,2100 - 2200,11,33
10/14/2019,0500 - 0600,21,60
10/14/2019,0600 - 0700,30,78
10/14/2019,0700 - 0800,10,27
10/14/2019,0800 - 0900,13,43
10/14/2019,0900 - 1000,18,39
10/14/2019,1000 - 1100,20,50
10/14/2019,1100 - 1200,16,27
10/14/2019,1200 - 1300,21,63
10/14/2019,1300 - 1400,16,38
10/14/2019,1400 - 1500,16,48
10/14/2019,1500 - 1600,19,46
10/14/2019,1600 - 1700,24,65
10/14/2019,1700 - 1800,18,40
10/14/2019,1800 - 1900,10,16
10/14/2019,1900 - 2000,21,70
10/14/2019,2000 - 2100,26,79
10/14/2019,2100 - 2200,9,17
10/15/2019,0000 - 0100,24,42
10/15/2019,0800 - 0900,45,62
10/15/2019,0900 - 1000,19,46
10/15/2019,1000 - 1100,23,49
10/15/2019,1100 - 1200,22,44
10/15/2019,1200 - 1300,14,25
10/15/2019,1300 - 1400,15,36
10/15/2019,1400 - 1500,36,77
10/15/2019,1500 - 1600,12,30
10/15/2019,1600 - 1700,19,39
10/15/2019,1700 - 1800,12,28
