date,hour,Average Wait Time,Max Wait Time,time
10/9/2019,1300 - 1400,7,21,157
10/9/2019,1400 - 1500,11,26,158
10/9/2019,1500 - 1600,13,36,159
10/9/2019,1600 - 1700,14,60,160
10/9/2019,1700 - 1800,20,43,161
10/9/2019,1800 - 1900,12,36,162
10/9/2019,1900 - 2000,8,29,163
10/9/2019,2000 - 2100,11,43,164
10/9/2019,2100 - 2200,16,24,165
10/10/2019,0000 - 0100,6,36,168
10/10/2019,0900 - 1000,12,33,177
10/10/2019,1000 - 1100,12,30,178
10/10/2019,1100 - 1200,12,61,179
10/10/2019,1200 - 1300,13,47,180
10/10/2019,1300 - 1400,16,77,181
10/10/2019,1400 - 1500,15,97,182
10/10/2019,1600 - 1700,11,24,184
10/10/2019,1700 - 1800,13,63,185
10/10/2019,1800 - 1900,13,60,186
10/10/2019,1900 - 2000,23,65,187
10/10/2019,2000 - 2100,14,48,188
10/10/2019,2100 - 2200,7,27,189
10/10/2019,2200 - 2300,5,11,190
10/10/2019,0500 - 0600,34,51,173
10/10/2019,0600 - 0700,24,52,174
10/10/2019,0700 - 0800,21,36,175
10/10/2019,0800 - 0900,12,33,176
10/10/2019,0900 - 1000,15,40,177
10/10/2019,1000 - 1100,14,46,178
10/10/2019,1100 - 1200,22,44,179
10/10/2019,1200 - 1300,23,96,180
10/10/2019,1300 - 1400,10,24,181
10/10/2019,1400 - 1500,22,53,182
10/10/2019,1500 - 1600,14,31,183
10/10/2019,1600 - 1700,24,66,184
10/10/2019,1700 - 1800,9,19,185
10/10/2019,1800 - 1900,17,26,186
10/10/2019,1900 - 2000,8,20,187
10/10/2019,2000 - 2100,17,43,188
10/10/2019,2100 - 2200,12,22,189
10/11/2019,0000 - 0100,15,27,192
10/11/2019,0100 - 0200,7,21,193
10/11/2019,0900 - 1000,9,29,201
10/11/2019,1000 - 1100,12,27,202
10/11/2019,1100 - 1200,15,78,203
10/11/2019,1200 - 1300,11,76,204
10/11/2019,1300 - 1400,8,46,205
10/11/2019,1400 - 1500,12,53,206
10/11/2019,1600 - 1700,13,35,208
10/11/2019,1700 - 1800,20,52,209
10/11/2019,1900 - 2000,16,55,211
10/11/2019,2000 - 2100,19,62,212
10/11/2019,2200 - 2300,5,26,214
10/11/2019,2300 - 0000,6,16,215
10/11/2019,0500 - 0600,12,32,197
10/11/2019,0600 - 0700,17,37,198
10/11/2019,0700 - 0800,13,71,199
10/11/2019,0800 - 0900,15,54,200
10/11/2019,0900 - 1000,9,26,201
10/11/2019,1000 - 1100,8,23,202
10/11/2019,1100 - 1200,8,24,203
10/11/2019,1200 - 1300,17,52,204
10/11/2019,1300 - 1400,11,37,205
10/11/2019,1400 - 1500,8,34,206
10/11/2019,1500 - 1600,11,40,207
10/11/2019,1600 - 1700,24,71,208
10/11/2019,1700 - 1800,13,62,209
10/11/2019,1800 - 1900,14,34,210
10/11/2019,1900 - 2000,5,11,211
